entry_id,date,account_code,account_name,description,debit,credit,vendor_or_customer,posted_by
EX-001,2024-10-01,1000,Cash,Initial cash deposit,50000.00,0,Owner Investment,system
EX-002,2024-10-01,3000,Common Stock,Initial owner investment,0,50000.00,Owner Investment,system
EX-003,2024-10-05,1100,Accounts Receivable,Monthly subscription - Enterprise clients,12500.00,0,TechCorp Inc.,billing
EX-004,2024-10-05,4000,Subscription Revenue,Monthly subscription - Enterprise clients,0,12500.00,TechCorp Inc.,billing
EX-005,2024-10-15,1000,Cash,Payment received from TechCorp,12500.00,0,TechCorp Inc.,ar
EX-006,2024-10-15,1100,Accounts Receivable,Payment received from TechCorp,0,12500.00,TechCorp Inc.,ar
EX-007,2024-10-18,6200,Marketing Expense,Google Ads campaign - Q4 push,25000.00,0,Google LLC,marketing
EX-008,2024-10-18,2000,Accounts Payable,Google Ads campaign - Q4 push,0,25000.00,Google LLC,marketing
EX-009,2024-10-22,6100,Office Supplies,Flight to NYC for client meeting - Delta Airlines,2500.00,0,Delta Airlines,expense
EX-010,2024-10-22,1000,Cash,Flight to NYC for client meeting - Delta Airlines,0,2500.00,Delta Airlines,expense
EX-011,2024-11-01,1100,Accounts Receivable,Monthly subscription - Growth clients,18000.00,0,StartupXYZ,billing
EX-012,2024-11-01,4000,Subscription Revenue,Monthly subscription - Growth clients,0,18000.00,StartupXYZ,billing
EX-013,2024-11-05,1200,Prepaid Insurance,Annual insurance premium - 12 months,6000.00,0,State Farm,accounting
EX-014,2024-11-05,1000,Cash,Annual insurance premium payment,0,6000.00,State Farm,accounting
EX-015,2024-11-15,6000,Salaries & Wages,November payroll - all employees,35000.00,0,Payroll,hr
EX-016,2024-11-15,1000,Cash,November payroll,0,35000.00,Payroll,hr
EX-017,2024-11-20,6100,Office Supplies,Marriott hotel stay - conference,1800.00,0,Marriott Hotels,expense
EX-018,2024-11-20,1000,Cash,Marriott hotel stay,0,1800.00,Marriott Hotels,expense
EX-019,2024-11-25,1100,Accounts Receivable,Implementation services - BigCorp,15000.00,0,BigCorp Industries,ps
EX-020,2024-11-25,4100,Professional Services,Implementation services - BigCorp,0,15000.00,BigCorp Industries,ps
EX-021,2024-12-31,1100,Accounts Receivable,Enterprise contract - Q4 close deal,45000.00,0,MegaCorp LLC,sales
EX-022,2024-12-31,4000,Subscription Revenue,Enterprise contract - Q4 close deal,0,45000.00,MegaCorp LLC,sales
EX-023,2024-12-15,6000,Salaries & Wages,December payroll - all employees,35000.00,0,Payroll,hr
EX-024,2024-12-15,1000,Cash,December payroll,0,35000.00,Payroll,hr
EX-025,2024-12-20,1300,Office Equipment,New server equipment purchase,15000.00,0,Dell Technologies,it
EX-026,2024-12-20,2000,Accounts Payable,Dell equipment - Net 30,0,15000.00,Dell Technologies,it
EX-027,2024-12-01,6300,Software & Subscriptions,AWS monthly hosting - December,2400.00,0,Amazon Web Services,it
EX-028,2024-12-01,1000,Cash,AWS payment,0,2400.00,Amazon Web Services,it
EX-029,2024-12-10,6400,Professional Fees,Legal consultation - contract review,5000.00,0,Smith & Associates Law,legal
EX-030,2024-12-10,1000,Cash,Legal fees payment,0,5000.00,Smith & Associates Law,legal
EX-031,2024-12-12,6100,Office Supplies,Uber rides to airport - business travel,450.00,0,Uber,expense
EX-032,2024-12-12,1000,Cash,Uber business travel,0,450.00,Uber,expense
EX-033,2024-12-18,1100,Accounts Receivable,Consulting engagement - RetailMax,8500.00,0,RetailMax Corp,ps
EX-034,2024-12-18,4100,Professional Services,Consulting engagement - RetailMax,0,8500.00,RetailMax Corp,ps
EX-035,2024-12-22,6500,Utilities,Office electricity - December,850.00,0,City Power Co,facilities
EX-036,2024-12-22,1000,Cash,Electricity payment,0,850.00,City Power Co,facilities
EX-037,2024-12-28,6200,Marketing Expense,LinkedIn Ads - recruitment campaign,3500.00,0,LinkedIn,marketing
EX-038,2024-12-28,2000,Accounts Payable,LinkedIn Ads payable,0,3500.00,LinkedIn,marketing
EX-039,2024-12-29,1000,Cash,Customer payment - StartupXYZ,18000.00,0,StartupXYZ,ar
EX-040,2024-12-29,1100,Accounts Receivable,Customer payment - StartupXYZ,0,18000.00,StartupXYZ,ar
