code,name,type,subtype,normal_balance,description
1000,Cash,asset,current_asset,debit,Primary operating cash account
1100,Accounts Receivable,asset,current_asset,debit,Customer receivables from sales
2000,Accounts Payable,liability,current_liability,credit,Vendor payables
2200,Deferred Revenue,liability,current_liability,credit,Prepaid subscription revenue
3000,Common Stock,equity,contributed_capital,credit,Shareholder equity contributions
4000,Subscription Revenue,revenue,operating_revenue,credit,SaaS subscription income
6000,Salaries,expense,operating_expense,debit,Employee compensation
6100,Office Supplies,expense,operating_expense,debit,Office consumables and supplies
6200,Marketing,expense,operating_expense,debit,Advertising and marketing costs
6300,Software,expense,operating_expense,debit,Software licenses and cloud hosting
